action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,exclusion_reason,ic50_nM,smiles,measurement_class
,,72191,[],CHEMBL712040,Inhibition of matrix metalloprotease-9,B,,,BAO_0000190,BAO_0000357,single protein format,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C,,,CHEMBL1132530,Bioorg Med Chem Lett,1999.0,"{'bei': '26.63', 'le': '0.52', 'lle': '9.03', 'sei': '6.91'}",,CHEMBL279785,MARIMASTAT,CHEMBL279785,8.82,0,http://www.openphacts.org/units/Nanomolar,76330,=,1,1,=,,IC50,nM,,1.5,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,1.5,,1.5,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C,active
,,85195,[],CHEMBL712040,Inhibition of matrix metalloprotease-9,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(S(=O)(=O)N(CC(C)C)[C@@H](CCSCc2ccc(-c3ccccc3)cc2)C(=O)NO)cc1,,,CHEMBL1132530,Bioorg Med Chem Lett,1999.0,"{'bei': '17.87', 'le': '0.36', 'lle': '4.49', 'sei': '10.11'}",,CHEMBL296761,,CHEMBL296761,9.70,0,http://www.openphacts.org/units/Nanomolar,76327,=,1,1,=,,IC50,nM,,0.2,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,0.2,,0.2,COc1ccc(S(=O)(=O)N(CC(C)C)[C@@H](CCSCc2ccc(-c3ccccc3)cc2)C(=O)NO)cc1,active
,,86118,[],CHEMBL712040,Inhibition of matrix metalloprotease-9,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(S(=O)(=O)N(CC(C)C)[C@@H](CCSCc2ccccc2)C(=O)NO)cc1,,,CHEMBL1132530,Bioorg Med Chem Lett,1999.0,"{'bei': '18.43', 'le': '0.38', 'lle': '5.06', 'sei': '8.97'}",,CHEMBL296911,,CHEMBL296911,8.60,0,http://www.openphacts.org/units/Nanomolar,76326,=,1,1,=,,IC50,nM,,2.5,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,2.5,,2.5,COc1ccc(S(=O)(=O)N(CC(C)C)[C@@H](CCSCc2ccccc2)C(=O)NO)cc1,active
,,88211,[],CHEMBL712040,Inhibition of matrix metalloprotease-9,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(S(=O)(=O)N(CC(C)C)[C@@H](CCSCc2ccc(OCc3ccccc3)cc2)C(=O)NO)cc1,,,CHEMBL1132530,Bioorg Med Chem Lett,1999.0,"{'bei': '14.14', 'le': '0.28', 'lle': '2.98', 'sei': '7.70'}",,CHEMBL45162,,CHEMBL45162,8.10,0,http://www.openphacts.org/units/Nanomolar,76328,=,1,1,=,,IC50,nM,,8.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,8.0,,8.0,COc1ccc(S(=O)(=O)N(CC(C)C)[C@@H](CCSCc2ccc(OCc3ccccc3)cc2)C(=O)NO)cc1,active
,,91195,[],CHEMBL712040,Inhibition of matrix metalloprotease-9,B,,,BAO_0000190,BAO_0000357,single protein format,CSCC[C@@H](C(=O)NO)N(CC(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1,,,CHEMBL1132530,Bioorg Med Chem Lett,1999.0,"{'bei': '22.21', 'le': '0.46', 'lle': '6.07', 'sei': '11.19'}",,CHEMBL47728,,CHEMBL47728,9.70,0,http://www.openphacts.org/units/Nanomolar,76333,=,1,1,=,,IC50,nM,,0.2,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,0.2,,0.2,CSCC[C@@H](C(=O)NO)N(CC(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1,active
,,100134,[],CHEMBL712040,Inhibition of matrix metalloprotease-9,B,,,BAO_0000190,BAO_0000357,single protein format,CC[C@@H](C(=O)NO)N(CC(C)C)S(=O)(=O)c1ccc(OC)cc1,,,CHEMBL1132530,Bioorg Med Chem Lett,1999.0,"{'bei': '23.68', 'le': '0.48', 'lle': '6.52', 'sei': '8.50'}",,CHEMBL45357,,CHEMBL45357,8.15,0,http://www.openphacts.org/units/Nanomolar,76334,=,1,1,=,,IC50,nM,,7.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,7.0,,7.0,CC[C@@H](C(=O)NO)N(CC(C)C)S(=O)(=O)c1ccc(OC)cc1,active
,,136916,[],CHEMBL710583,Inhibition of Matrix metalloprotease-9,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(CCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)N[C@H](C)c2ccccc2)C(C)(C)C)ccc1-c1ccccc1,,,CHEMBL1134203,Bioorg Med Chem Lett,2001.0,"{'bei': '10.89', 'le': '0.20', 'lle': '0.18', 'sei': '5.65'}",,CHEMBL117225,,CHEMBL117225,6.08,0,http://www.openphacts.org/units/Nanomolar,301060,=,1,1,=,,IC50,nM,,840.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,840.0,,840.0,Cc1cc(CCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)N[C@H](C)c2ccccc2)C(C)(C)C)ccc1-c1ccccc1,active
,,185679,[],CHEMBL714516,Inhibition of Matrix metalloprotease-9,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NO)C(CCN1C(=O)c2ccccc2C1=O)COc1ccc(-c2ccccc2)cc1,,,CHEMBL1134157,Bioorg Med Chem Lett,2001.0,"{'bei': '19.28', 'le': '0.35', 'lle': '4.76', 'sei': '8.65'}",,CHEMBL101121,,CHEMBL101121,8.30,0,http://www.openphacts.org/units/Nanomolar,189020,=,1,1,=,,IC50,nM,,5.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,5.0,,5.0,O=C(NO)C(CCN1C(=O)c2ccccc2C1=O)COc1ccc(-c2ccccc2)cc1,active
,,187002,[],CHEMBL714516,Inhibition of Matrix metalloprotease-9,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NO)C(CCN1C(=O)c2ccccc2S1(=O)=O)COc1ccc(-c2ccccc2)cc1,,,CHEMBL1134157,Bioorg Med Chem Lett,2001.0,"{'bei': '16.71', 'le': '0.32', 'lle': '4.71', 'sei': '6.90'}",,CHEMBL103442,,CHEMBL103442,7.80,0,http://www.openphacts.org/units/Nanomolar,189019,=,1,1,=,,IC50,nM,,16.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,16.0,,16.0,O=C(NO)C(CCN1C(=O)c2ccccc2S1(=O)=O)COc1ccc(-c2ccccc2)cc1,active
,,191959,[],CHEMBL714516,Inhibition of Matrix metalloprotease-9,B,,,BAO_0000190,BAO_0000357,single protein format,N#Cc1ccc(-c2ccc(OCC(CCn3nnc4ccccc4c3=O)C(=O)NO)cc2)cc1,,,CHEMBL1134157,Bioorg Med Chem Lett,2001.0,"{'bei': '20.25', 'le': '0.37', 'lle': '6.30', 'sei': '7.09'}",,CHEMBL317508,,CHEMBL317508,9.22,0,http://www.openphacts.org/units/Nanomolar,189012,=,1,1,=,,IC50,nM,,0.6,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,0.6,,0.6,N#Cc1ccc(-c2ccc(OCC(CCn3nnc4ccccc4c3=O)C(=O)NO)cc2)cc1,active
