molecule_id,all_chembl_ids,smiles,ic50_nM,pic50,class,n_measurements,ic50_min,ic50_max,activity_ids,assay_ids,label
CHEMBL100584,CHEMBL100584,O=C(NO)C(CCn1nnc2ccccc2c1=O)COCCc1ccc(-c2ccc(Cl)cc2)cc1,3.6,8.443697499232712,active,1,3.6,3.6,195387,CHEMBL714516,1
CHEMBL100805,CHEMBL100805,O=C(NO)C(CCn1c(=O)[nH]c2ccccc2c1=O)COc1ccc(-c2ccccc2)cc1,25.0,7.6020599913279625,active,1,25.0,25.0,204982,CHEMBL714516,1
CHEMBL101121,CHEMBL101121,O=C(NO)C(CCN1C(=O)c2ccccc2C1=O)COc1ccc(-c2ccccc2)cc1,5.0,8.301029995663981,active,1,5.0,5.0,185679,CHEMBL714516,1
CHEMBL102415,CHEMBL102415,COc1ccc(S(=O)(=O)N2CC(C)(C)C(CSCc3ccccc3)[C@@H]2C(=O)NO)cc1,0.9,9.045757490560675,active,1,0.9,0.9,781613,CHEMBL712562,1
CHEMBL102459,CHEMBL102459,O=C(NO)C(CCn1ncc2ccccc2c1=O)COc1ccc(-c2ccccc2)cc1,33.0,7.481486060122112,active,1,33.0,33.0,217988,CHEMBL714516,1
CHEMBL102698,CHEMBL102698,COc1ccc(S(=O)(=O)N2CC(C)(C)C(CSCCc3ccccc3)[C@@H]2C(=O)NO)cc1,2.8,8.55284196865778,active,1,2.8,2.8,773755,CHEMBL712562,1
CHEMBL103442,CHEMBL103442,O=C(NO)C(CCN1C(=O)c2ccccc2S1(=O)=O)COc1ccc(-c2ccccc2)cc1,16.0,7.795880017344075,active,1,16.0,16.0,187002,CHEMBL714516,1
CHEMBL104446,CHEMBL104446,C=CC1[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(OC)cc2)CC1(C)C,138.0,6.860120913598763,active,1,138.0,138.0,773750,CHEMBL712562,1
CHEMBL105962,CHEMBL105962,COc1ccc(S(=O)(=O)N2CC(C)(C)C([C@@H](O)CSc3ccccc3)[C@@H]2C(=O)NO)cc1,3.6,8.443697499232712,active,1,3.6,3.6,779310,CHEMBL712562,1
CHEMBL106889,CHEMBL106889,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H]1[C@@H](COCC(=O)NO)[C@@H]1CSc1ccccc1,36000.0,4.443697499232713,inactive,1,36000.0,36000.0,849433,CHEMBL687545,0
