molecule_id,class,pic50,MW,LogP,HDonors,HAcceptors
CHEMBL100584,active,8.443697499232712,492.9630000000003,3.882900000000003,2,6
CHEMBL100805,active,7.602059991327962,445.47500000000025,2.9475000000000007,3,5
CHEMBL101121,active,8.301029995663981,430.4600000000002,3.540300000000002,2,5
CHEMBL102415,active,9.045757490560677,464.6090000000001,3.149300000000001,2,6
CHEMBL102459,active,7.481486060122112,429.47600000000017,3.6542000000000012,2,5
CHEMBL102698,active,8.55284196865778,478.63600000000014,3.1918000000000006,2,6
CHEMBL103442,active,7.795880017344075,466.51500000000027,3.088800000000001,2,6
CHEMBL104446,active,6.860120913598763,354.42800000000017,1.4018999999999995,2,5
CHEMBL105962,active,8.443697499232712,480.6080000000001,2.3691000000000004,3,7
CHEMBL106889,inactive,4.443697499232713,471.5790000000002,1.6364000000000003,4,6
CHEMBL1078281,active,7.236572006437063,437.9300000000001,3.1224000000000007,2,5
CHEMBL11306,active,9.42021640338319,349.4310000000001,1.0176999999999996,4,4
CHEMBL115145,inactive,4.36251027048749,288.255,2.0850000000000004,4,4
CHEMBL115189,active,8.522878745280337,331.41300000000007,-0.20809999999999906,5,5
CHEMBL115460,inactive,4.517126416391246,558.7190000000003,6.067920000000006,3,4
CHEMBL115727,active,8.647817481888637,513.5940000000002,1.2567000000000006,2,8
CHEMBL1163444,active,8.137272471682026,273.263,2.8888000000000007,3,3
CHEMBL1163455,active,8.47755576649368,285.29900000000004,2.758300000000001,3,4
CHEMBL1163867,active,8.086716098239581,289.718,3.403100000000001,3,3
CHEMBL1164826,active,8.10790539730952,239.27400000000003,3.0441000000000003,2,2
CHEMBL1165106,active,8.438898616350944,269.3,3.0581200000000015,3,3
CHEMBL1165150,active,8.10292299679058,289.718,3.403100000000002,3,3
CHEMBL1165152,active,8.228412519118745,269.3,3.0581200000000015,3,3
CHEMBL1165574,active,8.1073489661227,273.26300000000003,2.8888000000000007,3,3
CHEMBL1165627,active,8.246416941107093,285.299,2.758300000000001,3,4
CHEMBL116944,active,9.096910013008056,358.39400000000006,2.1012,4,5
CHEMBL117225,active,6.075720713938118,557.7350000000004,5.904720000000005,4,4
CHEMBL118497,active,8.55284196865778,458.46700000000016,2.5168999999999997,4,7
CHEMBL118744,active,8.327902142064282,501.5390000000002,-0.4085999999999985,3,9
CHEMBL118848,active,7.806875401645538,589.7390000000001,1.7968999999999997,2,10
CHEMBL1200596,inactive,4.798602875679548,214.051,3.2472000000000003,1,2
CHEMBL1229516,active,8.292429823902063,391.5120000000001,2.1384999999999987,3,4
CHEMBL1229868,active,8.920818753952375,445.4150000000002,3.3260000000000023,2,6
CHEMBL1277658,inactive,4.443697499232713,349.415,4.030700000000002,2,3
CHEMBL129795,active,8.0,256.257,2.699500000000001,3,4
CHEMBL1305393,active,8.086716098239581,251.329,3.0587000000000018,1,1
CHEMBL140152,active,9.30102999566398,356.44399999999996,1.7699999999999996,2,5
CHEMBL140970,active,8.721246399047171,374.48400000000004,1.4753999999999996,2,6
CHEMBL141080,active,9.045757490560677,360.45700000000005,1.0852999999999997,2,6
CHEMBL145,active,7.806597096937582,180.159,1.1956,3,3
CHEMBL147489,active,9.602059991327964,393.3770000000001,1.0938999999999999,3,7
CHEMBL1483847,inactive,4.632644078973981,284.231,3.0463000000000005,1,5
CHEMBL1532097,inactive,4.992679047077256,544.5120000000003,4.057500000000002,7,10
CHEMBL155874,active,9.0,542.4110000000002,4.156900000000002,4,4
CHEMBL157704,active,7.552841968657781,450.5160000000001,3.817700000000002,3,4
CHEMBL1630091,inactive,4.638272163982407,466.5780000000002,4.118920000000003,2,6
CHEMBL16505,active,6.6020599913279625,332.51000000000005,1.6063999999999994,4,4
CHEMBL1650637,inactive,4.958607314841775,318.329,2.880300000000001,2,4
CHEMBL16519,active,9.853871964321762,374.5910000000002,2.9208000000000007,4,4
CHEMBL16520,active,7.920818753952375,315.41400000000004,0.8210999999999995,4,4
CHEMBL16554,active,9.853871964321762,372.57500000000016,3.1290000000000013,3,4
CHEMBL16595,active,7.698970004336019,499.76200000000034,4.0500000000000025,4,6
CHEMBL16630,active,8.096910013008056,332.51000000000005,1.6063999999999994,4,4
CHEMBL16650,active,7.920818753952375,374.5910000000002,2.9208000000000007,4,4
CHEMBL16933,active,8.096910013008056,330.4940000000001,1.8145999999999989,3,4
CHEMBL17082,active,7.619788758288394,501.77800000000036,3.841800000000002,5,6
CHEMBL173075,active,6.481486060122112,288.34700000000004,2.2607999999999997,2,3
CHEMBL174641,active,6.928117992693874,340.33500000000004,1.4650999999999998,3,5
CHEMBL175282,active,6.06398920428479,364.4450000000001,3.927800000000003,2,3
CHEMBL176467,active,7.2839966563652,310.3090000000001,2.1025999999999994,2,4
CHEMBL176517,inactive,4.853871964321762,296.28200000000004,1.9284999999999997,2,4
CHEMBL176602,active,7.686132779630847,374.4210000000001,3.642100000000002,2,3
CHEMBL176832,active,7.744727494896693,380.44400000000013,4.053100000000003,2,4
CHEMBL176876,inactive,4.920818753952375,380.5130000000001,4.092700000000003,2,3
CHEMBL1770157,active,7.638272163982407,492.5500000000003,2.3211999999999993,3,8
CHEMBL1770697,active,6.42021640338319,560.5470000000004,3.235500000000001,2,8
CHEMBL1770707,active,6.031517051446064,490.57800000000026,2.6228000000000007,2,8
CHEMBL1770708,active,6.017728766960431,505.59300000000025,2.3786000000000005,3,8
CHEMBL1770709,active,6.7447274948966935,546.5200000000003,3.2112000000000007,3,8
CHEMBL1770710,active,6.173925197299173,454.5450000000004,1.6863999999999992,2,7
CHEMBL1770711,active,6.301029995663981,519.6200000000003,2.768700000000001,3,8
CHEMBL177077,active,6.785156151952302,360.45400000000006,3.340700000000001,2,4
CHEMBL1771212,active,9.721246399047171,518.5100000000001,3.1376000000000017,2,8
CHEMBL177740,active,7.769551078621726,416.4330000000001,3.299500000000001,2,5
