seed,accuracy,f1,sensitivity,specificity,precision,tn,fp,fn,tp
0,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
1,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
2,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
3,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
4,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
5,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
6,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
7,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
8,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
9,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
10,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
11,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
12,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
13,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
14,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
15,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
16,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
17,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
18,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
19,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
20,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
21,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
22,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
23,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
24,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
25,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
26,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
27,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
28,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
29,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
30,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
31,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
32,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
33,0.7868852459016393,0.8807339449541285,1.0,0.0,0.7868852459016393,0,39,0,144
