seed,representation,model,candidate,validation_f1,n_train,n_test,n_features,accuracy,f1,sensitivity,specificity,precision,tn,fp,fn,tp
0,PaDEL,LogisticRegression,1,0.9399293286219081,730,183,1180,0.9289617486338798,0.9553264604810997,0.9652777777777778,0.7948717948717948,0.9455782312925171,31,8,5,139
1,PaDEL,LogisticRegression,1,0.900709219858156,730,183,1179,0.9398907103825137,0.9619377162629758,0.9652777777777778,0.8461538461538461,0.9586206896551724,33,6,5,139
2,PaDEL,LogisticRegression,1,0.9407665505226481,730,183,1182,0.9453551912568307,0.965034965034965,0.9583333333333334,0.8974358974358975,0.971830985915493,35,4,6,138
3,PaDEL,LogisticRegression,0,0.9333333333333333,730,183,1182,0.9180327868852459,0.9477351916376306,0.9444444444444444,0.8205128205128205,0.951048951048951,32,7,8,136
4,PaDEL,LogisticRegression,0,0.9403508771929825,730,183,1182,0.9180327868852459,0.9469964664310954,0.9305555555555556,0.8717948717948718,0.9640287769784173,34,5,10,134
5,PaDEL,LogisticRegression,1,0.9477351916376306,730,183,1182,0.8961748633879781,0.9333333333333333,0.9236111111111112,0.7948717948717948,0.9432624113475178,31,8,11,133
6,PaDEL,LogisticRegression,0,0.9550173010380623,730,183,1182,0.907103825136612,0.9390681003584229,0.9097222222222222,0.8974358974358975,0.9703703703703703,35,4,13,131
7,PaDEL,LogisticRegression,1,0.9419795221843004,730,183,1179,0.9344262295081968,0.9586206896551724,0.9652777777777778,0.8205128205128205,0.952054794520548,32,7,5,139
8,PaDEL,LogisticRegression,1,0.958904109589041,730,183,1182,0.912568306010929,0.9440559440559441,0.9375,0.8205128205128205,0.9507042253521126,32,7,9,135
9,PaDEL,LogisticRegression,1,0.9428571428571428,730,183,1182,0.9508196721311475,0.9679715302491103,0.9444444444444444,0.9743589743589743,0.9927007299270073,38,1,8,136
10,PaDEL,LogisticRegression,1,0.9547038327526133,730,183,1182,0.8797814207650273,0.9225352112676056,0.9097222222222222,0.7692307692307693,0.9357142857142857,30,9,13,131
11,PaDEL,LogisticRegression,1,0.9477351916376306,730,183,1180,0.9234972677595629,0.9517241379310345,0.9583333333333334,0.7948717948717948,0.9452054794520548,31,8,6,138
12,PaDEL,LogisticRegression,0,0.9399293286219081,730,183,1180,0.8961748633879781,0.9323843416370107,0.9097222222222222,0.8461538461538461,0.9562043795620438,33,6,13,131
13,PaDEL,LogisticRegression,0,0.9328621908127208,730,183,1182,0.912568306010929,0.9440559440559441,0.9375,0.8205128205128205,0.9507042253521126,32,7,9,135
14,PaDEL,LogisticRegression,1,0.9586206896551724,730,183,1182,0.907103825136612,0.9407665505226481,0.9375,0.7948717948717948,0.9440559440559441,31,8,9,135
15,PaDEL,LogisticRegression,0,0.9323843416370107,730,183,1182,0.8907103825136612,0.9295774647887324,0.9166666666666666,0.7948717948717948,0.9428571428571428,31,8,12,132
16,PaDEL,LogisticRegression,1,0.9084507042253521,730,183,1180,0.9180327868852459,0.9466192170818505,0.9236111111111112,0.8974358974358975,0.9708029197080292,35,4,11,133
17,PaDEL,LogisticRegression,0,0.9540636042402827,730,183,1180,0.9180327868852459,0.9484536082474226,0.9583333333333334,0.7692307692307693,0.9387755102040817,30,9,6,138
18,PaDEL,LogisticRegression,1,0.9550173010380623,730,183,1180,0.9289617486338798,0.9540636042402827,0.9375,0.8974358974358975,0.9712230215827338,35,4,9,135
19,PaDEL,LogisticRegression,0,0.958041958041958,730,183,1177,0.9180327868852459,0.9477351916376306,0.9444444444444444,0.8205128205128205,0.951048951048951,32,7,8,136
20,PaDEL,LogisticRegression,0,0.9407665505226481,730,183,1179,0.9234972677595629,0.9507042253521126,0.9375,0.8717948717948718,0.9642857142857143,34,5,9,135
21,PaDEL,LogisticRegression,1,0.9375,730,183,1182,0.9180327868852459,0.9466192170818505,0.9236111111111112,0.8974358974358975,0.9708029197080292,35,4,11,133
22,PaDEL,LogisticRegression,0,0.9540636042402827,730,183,1182,0.9180327868852459,0.9466192170818505,0.9236111111111112,0.8974358974358975,0.9708029197080292,35,4,11,133
23,PaDEL,LogisticRegression,1,0.9295774647887324,730,183,1182,0.9234972677595629,0.9507042253521126,0.9375,0.8717948717948718,0.9642857142857143,34,5,9,135
24,PaDEL,LogisticRegression,1,0.9280575539568345,730,183,1182,0.907103825136612,0.9399293286219081,0.9236111111111112,0.8461538461538461,0.9568345323741008,33,6,11,133
25,PaDEL,LogisticRegression,1,0.9333333333333333,730,183,1177,0.9453551912568307,0.965034965034965,0.9583333333333334,0.8974358974358975,0.971830985915493,35,4,6,138
26,PaDEL,LogisticRegression,1,0.9337979094076655,730,183,1182,0.9016393442622951,0.9383561643835616,0.9513888888888888,0.717948717948718,0.9256756756756757,28,11,7,137
27,PaDEL,LogisticRegression,0,0.9415807560137457,730,183,1180,0.912568306010929,0.9436619718309859,0.9305555555555556,0.8461538461538461,0.9571428571428572,33,6,10,134
28,PaDEL,LogisticRegression,0,0.9477351916376306,730,183,1177,0.8852459016393442,0.924187725631769,0.8888888888888888,0.8717948717948718,0.9624060150375939,34,5,16,128
29,PaDEL,LogisticRegression,1,0.9574468085106383,730,183,1182,0.912568306010929,0.9444444444444444,0.9444444444444444,0.7948717948717948,0.9444444444444444,31,8,8,136
30,PaDEL,LogisticRegression,1,0.9614035087719298,730,183,1182,0.9398907103825137,0.9619377162629758,0.9652777777777778,0.8461538461538461,0.9586206896551724,33,6,5,139
31,PaDEL,LogisticRegression,1,0.9383561643835616,730,183,1182,0.8688524590163934,0.9148936170212766,0.8958333333333334,0.7692307692307693,0.9347826086956522,30,9,15,129
32,PaDEL,LogisticRegression,0,0.958041958041958,730,183,1182,0.9016393442622951,0.935251798561151,0.9027777777777778,0.8974358974358975,0.9701492537313433,35,4,14,130
33,PaDEL,LogisticRegression,1,0.9314079422382672,730,183,1182,0.9398907103825137,0.9616724738675958,0.9583333333333334,0.8717948717948718,0.965034965034965,34,5,6,138
34,PaDEL,LogisticRegression,1,0.9553264604810997,730,183,1182,0.912568306010929,0.9440559440559441,0.9375,0.8205128205128205,0.9507042253521126,32,7,9,135
35,PaDEL,LogisticRegression,0,0.9295774647887324,730,183,1182,0.9508196721311475,0.9686411149825784,0.9652777777777778,0.8974358974358975,0.972027972027972,35,4,5,139
36,PaDEL,LogisticRegression,1,0.9621993127147767,730,183,1182,0.8961748633879781,0.931899641577061,0.9027777777777778,0.8717948717948718,0.9629629629629629,34,5,14,130
37,PaDEL,LogisticRegression,1,0.9403508771929825,730,183,1179,0.9180327868852459,0.9469964664310954,0.9305555555555556,0.8717948717948718,0.9640287769784173,34,5,10,134
38,PaDEL,LogisticRegression,1,0.9619377162629758,730,183,1182,0.9289617486338798,0.9553264604810997,0.9652777777777778,0.7948717948717948,0.9455782312925171,31,8,5,139
39,PaDEL,LogisticRegression,1,0.9473684210526315,730,183,1180,0.9289617486338798,0.9547038327526133,0.9513888888888888,0.8461538461538461,0.958041958041958,33,6,7,137
40,PaDEL,LogisticRegression,1,0.9328621908127208,730,183,1182,0.8852459016393442,0.9273356401384083,0.9305555555555556,0.717948717948718,0.9241379310344827,28,11,10,134
41,PaDEL,LogisticRegression,0,0.9436619718309859,730,183,1182,0.9617486338797814,0.9752650176678446,0.9583333333333334,0.9743589743589743,0.9928057553956835,38,1,6,138
42,PaDEL,LogisticRegression,1,0.9616724738675958,730,183,1182,0.9234972677595629,0.9496402877697842,0.9166666666666666,0.9487179487179487,0.9850746268656716,37,2,12,132
43,PaDEL,LogisticRegression,0,0.9285714285714286,730,183,1179,0.9234972677595629,0.951048951048951,0.9444444444444444,0.8461538461538461,0.9577464788732394,33,6,8,136
44,PaDEL,LogisticRegression,0,0.958904109589041,730,183,1180,0.9617486338797814,0.9750889679715302,0.9513888888888888,1.0,1.0,39,0,7,137
45,PaDEL,LogisticRegression,1,0.9300699300699301,730,183,1182,0.9234972677595629,0.951048951048951,0.9444444444444444,0.8461538461538461,0.9577464788732394,33,6,8,136
46,PaDEL,LogisticRegression,1,0.9513888888888888,730,183,1180,0.907103825136612,0.9407665505226481,0.9375,0.7948717948717948,0.9440559440559441,31,8,9,135
47,PaDEL,LogisticRegression,0,0.95,730,183,1182,0.8852459016393442,0.924187725631769,0.8888888888888888,0.8717948717948718,0.9624060150375939,34,5,16,128
48,PaDEL,LogisticRegression,1,0.9192982456140351,730,183,1182,0.907103825136612,0.9403508771929825,0.9305555555555556,0.8205128205128205,0.950354609929078,32,7,10,134
49,PaDEL,LogisticRegression,1,0.9565217391304348,730,183,1179,0.8907103825136612,0.9290780141843972,0.9097222222222222,0.8205128205128205,0.9492753623188406,32,7,13,131
50,PaDEL,LogisticRegression,0,0.9611307420494699,730,183,1182,0.9180327868852459,0.9477351916376306,0.9444444444444444,0.8205128205128205,0.951048951048951,32,7,8,136
51,PaDEL,LogisticRegression,0,0.9444444444444444,730,183,1179,0.8907103825136612,0.9295774647887324,0.9166666666666666,0.7948717948717948,0.9428571428571428,31,8,12,132
52,PaDEL,LogisticRegression,1,0.9477351916376306,730,183,1182,0.907103825136612,0.9411764705882353,0.9444444444444444,0.7692307692307693,0.9379310344827586,30,9,8,136
53,PaDEL,LogisticRegression,1,0.9355932203389831,730,183,1182,0.9016393442622951,0.9357142857142857,0.9097222222222222,0.8717948717948718,0.9632352941176471,34,5,13,131
54,PaDEL,LogisticRegression,1,0.9616724738675958,730,183,1179,0.8961748633879781,0.9342560553633218,0.9375,0.7435897435897436,0.9310344827586207,29,10,9,135
55,PaDEL,LogisticRegression,1,0.9436619718309859,730,183,1180,0.912568306010929,0.9448275862068966,0.9513888888888888,0.7692307692307693,0.9383561643835616,30,9,7,137
56,PaDEL,LogisticRegression,0,0.9424460431654677,730,183,1179,0.9016393442622951,0.9361702127659575,0.9166666666666666,0.8461538461538461,0.9565217391304348,33,6,12,132
