seed,representation,model,candidate,params,validation_f1
0,PaDEL,LogisticRegression,0,{'C': 0.1},0.9323843416370107
0,PaDEL,LogisticRegression,1,{'C': 1.0},0.9399293286219081
0,PaDEL,RandomForest,0,"{'n_estimators': 100, 'max_depth': 12, 'min_samples_leaf': 2}",0.9399293286219081
0,PaDEL,RandomForest,1,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 1}",0.9480968858131488
0,PaDEL,XGBoost,0,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",0.9473684210526315
0,PaDEL,XGBoost,1,"{'n_estimators': 150, 'max_depth': 5, 'learning_rate': 0.05}",0.9513888888888888
0,SMILES,LogisticRegression,0,{'C': 0.1},0.9057971014492754
0,SMILES,LogisticRegression,1,{'C': 1.0},0.9252669039145908
0,SMILES,RandomForest,0,"{'n_estimators': 100, 'max_depth': 12, 'min_samples_leaf': 2}",0.9477351916376306
0,SMILES,RandomForest,1,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 1}",0.9513888888888888
0,SMILES,XGBoost,0,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",0.9407665505226481
0,SMILES,XGBoost,1,"{'n_estimators': 150, 'max_depth': 5, 'learning_rate': 0.05}",0.9477351916376306
1,PaDEL,LogisticRegression,0,{'C': 0.1},0.8975265017667845
1,PaDEL,LogisticRegression,1,{'C': 1.0},0.900709219858156
1,PaDEL,RandomForest,0,"{'n_estimators': 100, 'max_depth': 12, 'min_samples_leaf': 2}",0.9347079037800687
1,PaDEL,RandomForest,1,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 1}",0.9379310344827586
1,PaDEL,XGBoost,0,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",0.9383561643835616
1,PaDEL,XGBoost,1,"{'n_estimators': 150, 'max_depth': 5, 'learning_rate': 0.05}",0.9452054794520548
1,SMILES,LogisticRegression,0,{'C': 0.1},0.8664259927797834
1,SMILES,LogisticRegression,1,{'C': 1.0},0.9128919860627178
1,SMILES,RandomForest,0,"{'n_estimators': 100, 'max_depth': 12, 'min_samples_leaf': 2}",0.9342560553633218
